,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority,clusterId
2530,11591,624,2,24,11.245405,3.887153,0,POINT (11.263904532780657 3.8399297618414323),5.6378274674021815,0.37828358978205223,0.0,58.0
2531,3643,624,2,24,11.285088,3.856271,0,POINT (11.281043848389857 3.8423155867607477),1.6153336106012428,0.8130622064898011,0.0,58.0
2532,11592,624,2,24,11.234811,3.881772,0,POINT (11.263484767069713 3.8397330385739394),5.6542720979414804,0.5102888481071125,0.0,58.0
2533,11593,624,2,24,11.230316,3.889732,0,POINT (11.263484767069713 3.8397330385739394),6.667121336980614,0.7753479774790955,0.0,58.0
2534,3642,624,2,24,11.32639,3.852082,0,POINT (11.328194316854734 3.848454660283096),0.450284172268657,0.5517460216805957,0.0,58.0
2535,3641,624,2,24,11.328659,3.849259,0,POINT (11.328653058415426 3.8487062850163625),0.06146263702051209,0.019873984697322156,0.0,58.0
3129,4224,624,2,24,11.64799,3.727165,1,POINT (11.537435453812577 3.7219088771209385),12.281055203201904,0.015666762078032304,0.0,58.0
3132,4225,624,2,24,11.643395,3.734242,1,POINT (11.537435453812577 3.7219088771209385),11.836941153144052,0.9804104814245468,0.0,58.0
3133,4223,624,2,24,11.642398,3.738623,1,POINT (11.538506325762 3.7579755359243165),11.726649047268632,0.5272239456346416,0.0,58.0
3193,12833,624,2,24,11.516528,3.519854,0,POINT (11.513153667052109 3.5200210999982176),0.3749615233867159,0.22397008782385341,0.0,58.0
3312,11273,624,2,24,10.790634,3.886643,0,POINT (10.791586216790847 3.8904158924932233),0.432622073446142,0.7730985402393095,0.0,58.0
3438,12313,624,2,24,11.480461,3.336016,0,POINT (11.488740032954752 3.331081686897903),1.070351949742725,0.8339576291770792,0.0,58.0
4208,523,624,2,24,10.781021,3.674927,0,POINT (10.783231219526527 3.6753298868144384),0.2493176945772285,0.7340242098304363,0.0,58.0
4209,521,624,2,24,10.778824,3.676437,0,POINT (10.783131977792948 3.6776211638659504),0.49584192984006864,0.39375591803659626,0.0,58.0
4210,40741,624,2,24,10.779648,3.674698,0,POINT (10.783265920605658 3.674532264908464),0.40189010010234705,0.8260998758904134,0.0,58.0
4211,522,624,2,24,10.778732,3.666229,0,POINT (10.78298982071513 3.6673934817945906),0.48990047563128375,0.43499273477569567,0.0,58.0
4212,40742,624,2,24,10.778961,3.642654,0,POINT (10.778852680946756 3.64284716217),0.02461336267932026,0.41191870800340813,0.0,58.0
4213,40743,624,2,24,10.778961,3.642654,0,POINT (10.778852680946756 3.64284716217),0.02461336267932026,0.22355001245185369,0.0,58.0
4242,16531,624,2,24,11.193008,3.736281,0,POINT (11.193034116525041 3.7639201492930567),3.0733345443119293,0.03671641724795527,0.0,58.0
4243,16532,624,2,24,11.173013,3.717142,0,POINT (11.19091894325922 3.7643896196898083),5.616825027388367,0.18902674999112123,0.0,58.0
